tweet, sentiment_label
b'RT @umarauna: @_amustapha talking about HTML 5 ALC 4.0 MEETUP 1.0 KANO\n\n@auwalms @andela_alc\n#GrowWithGoogle #150DaysOfALC4 https://t.co/eJ\xe2\x80\xa6', Negative
b'RT @umarauna: @_amustapha talking about HTML 5 ALC 4.0 MEETUP 1.0 KANO\n\n@auwalms @andela_alc\n#GrowWithGoogle #150DaysOfALC4 https://t.co/eJ\xe2\x80\xa6', Negative
b'RT @andela_alc: Good Morning! \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe\n\nOur meetup in @Andela_Kenya is currently happening! \xf0\x9f\x94\xa5\n\nWe kicked things off with some warmup sessions led\xe2\x80\xa6', Positive
b'RT @andela_alc: Good Morning! \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe\n\nOur meetup in @Andela_Kenya is currently happening! \xf0\x9f\x94\xa5\n\nWe kicked things off with some warmup sessions led\xe2\x80\xa6', Positive
b'RT @GoddyGCFR: Coding for the Web ....\n. @paritieltd @mistamd01 @king_eshiebor @am_jaykon\n@andela_alc @deenxyz\n@googleafrica @dscibbul\n@GDG\xe2\x80\xa6', Negative
b'RT @GoddyGCFR: Coding for the Web ....\n. @paritieltd @mistamd01 @king_eshiebor @am_jaykon\n@andela_alc @deenxyz\n@googleafrica @dscibbul\n@GDG\xe2\x80\xa6', Negative
b'RT @adroitcode: D16  - 17: Worked on an old project refactoring and making little changes. Also my JS learning tracks continues after a sho\xe2\x80\xa6', Negative
b'RT @adroitcode: D16  - 17: Worked on an old project refactoring and making little changes. Also my JS learning tracks continues after a sho\xe2\x80\xa6', Negative
b'RT @adroitcode: D16  - 17: Worked on an old project refactoring and making little changes. Also my JS learning tracks continues after a sho\xe2\x80\xa6', Negative
b'RT @adroitcode: D16  - 17: Worked on an old project refactoring and making little changes. Also my JS learning tracks continues after a sho\xe2\x80\xa6', Negative
b'D16  - 17: Worked on an old project refactoring and making little changes. Also my JS learning tracks continues aft\xe2\x80\xa6 https://t.co/djMLFX8UPO', Negative
b'RT @bebums: How was the #ALCwithGoogle  meetup in your location yesterday?\n@Google @Andela_Nigeria @pluralsight \n#150DaysOfALC4', Negative
