tweet, sentiment_label
b'RT @Yuhceewire: 1st meet up of the Google Africa Certification Scholarship Program in Enugu. #Andela #Google Africa #ALC 4.0 #GrowWithGoogl\xe2\x80\xa6', Negative
b'RT @Yuhceewire: 1st meet up of the Google Africa Certification Scholarship Program in Enugu. #Andela #Google Africa #ALC 4.0 #GrowWithGoogl\xe2\x80\xa6', Negative
b'RT @Yuhceewire: 1st meet up of the Google Africa Certification Scholarship Program in Enugu. #Andela #Google Africa #ALC 4.0 #GrowWithGoogl\xe2\x80\xa6', Negative
b'RT @rhodinett: Google Africa Scholarship meetup 1.0 was a blast across Africa \xf0\x9f\x94\xa5\nIf you attended a Meetup fill this feedback form: \nhttps://\xe2\x80\xa6', Negative
b'Google Africa Scholarship meetup 1.0 was a blast across Africa \xf0\x9f\x94\xa5\nIf you attended a Meetup fill this feedback form:\xe2\x80\xa6 https://t.co/zidpIuKNTO', Negative
b'RT @iddrisu72281170: Just want to use this opportunity to thank Google,Andela and pluralsight for the wonderful opportunity given to Africa\xe2\x80\xa6', Positive
b'Just want to use this opportunity to thank Google,Andela and pluralsight for the wonderful opportunity given to Afr\xe2\x80\xa6 https://t.co/SpLGRc7jrb', Positive
b'RT @Yuhceewire: 1st meet up of the Google Africa Certification Scholarship Program in Enugu. #Andela #Google Africa #ALC 4.0 #GrowWithGoogl\xe2\x80\xa6', Negative
b'RT @Yuhceewire: 1st meet up of the Google Africa Certification Scholarship Program in Enugu. #Andela #Google Africa #ALC 4.0 #GrowWithGoogl\xe2\x80\xa6', Negative
b'RT @Yuhceewire: 1st meet up of the Google Africa Certification Scholarship Program in Enugu. #Andela #Google Africa #ALC 4.0 #GrowWithGoogl\xe2\x80\xa6', Negative
b'1st meet up of the Google Africa Certification Scholarship Program in Enugu. #Andela #Google Africa #ALC 4.0\xe2\x80\xa6 https://t.co/ggOYaEbfPG', Negative
